tatripid,tmstmp,typ,stpnm,stpid,vid,dstp,rt,rtdd,rtdir,des,prdtm,tablockid,origtatripno,dly,dyn,prdctdn,zone,psgld,stst,stsd
209545,20210911 14:04,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:05,4411CC,209545,False,0,DUE,,,50700,2021-09-11
209549,20210911 13:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 14:00,4401CC,209549,False,0,DUE,,,50400,2021-09-11
209552,20210911 13:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 13:55,4412CC,209552,False,0,DUE,,,50100,2021-09-11
209556,20210911 13:49,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 13:50,4404CC,209556,False,0,DUE,,,49800,2021-09-11
209559,20210911 13:44,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 13:45,4411CC,209559,False,0,DUE,,,49500,2021-09-11
209563,20210911 13:39,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 13:40,4401CC,209563,False,0,DUE,,,49200,2021-09-11
209567,20210911 13:29,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 13:30,4404CC,209567,False,0,DUE,,,48600,2021-09-11
209570,20210911 13:24,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 13:25,4411CC,209570,False,0,DUE,,,48300,2021-09-11
209574,20210911 13:19,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 13:20,4401CC,209574,False,0,DUE,,,48000,2021-09-11
209577,20210911 13:14,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 13:15,4412CC,209577,False,0,DUE,,,47700,2021-09-11
209581,20210911 13:09,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 13:10,4404CC,209581,False,0,DUE,,,47400,2021-09-11
209585,20210911 12:59,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 13:00,4401CC,209585,False,0,DUE,,,46800,2021-09-11
209588,20210911 12:54,D,Central Campus Transit Center: Ruthven Museum,C251,,0,CC,CC,NORTHBOUND,Pierpont Commons,20210911 12:55,4412CC,209588,False,0,DUE,,,46500,2021-09-11
